Acronym,Country,Name
AT,Austria,Austrian Power Grid AG
VUEN,Austria,Vorarlberger Übertragungsnetz GmbH
AL,Albania,OST sh.a – Albanian Transmission System Operator
BA,Bosnia and Herzegovina,Nezavisni operator sustava u Bosni i Hercegovini
BE,Belgium,Elia System Operator SA
BG,Bulgaria,Electroenergien Sistemen Operator EAD
CH,Switzerland,Swissgrid ag
CY,Cyprus,Cyprus Transmission System Operator
CZ,Czech Republic,ČEPS a.s.
DE,Germany,"TransnetBW GmbH, TenneT TSO GmbH, Amprion GmbH, 50Hertz Transmission GmbH"
DK,Denmark,Energinet
EE,Estonia,Elering AS
ES,Spain,Red Eléctrica de España S.A.
FI,Finland,Fingrid Oyj
FR,France,Réseau de Transport d'Electricité (RTE)
GR,Greece,Independent Power Transmission Operator S.A. (IPTO)
HR,Croatia,HOPS d.d.
HU,Hungary,MAVIR ZRt.
IE,Ireland,EirGrid plc
IS,Iceland,Landsnet hf
IT,Italy,Terna - Rete Elettrica Nazionale SpA
LT,Lithuania,Litgrid AB
LU,Luxembourg,Creos Luxembourg S.A.
LV,Latvia,AS Augstsprieguma tīkls (AST)
ME,Montenegro,Crnogorski elektroprenosni sistem AD
NI,Northern Ireland,System Operator for Northern Ireland Ltd (SONI)
NL,Netherlands,TenneT TSO B.V.
NO,Norway,Statnett SF
MK,Republic of North Macedonia,Transmission System Operator of the Republic of North Macedonia (MEPSO)
PL,Poland,Polskie Sieci Elektroenergetyczne S.A. (PSE S.A.)
PT,Portugal,"Rede Eléctrica Nacional, S.A. (REN)"
RO,Romania,C.N. Transelectrica S.A.
RS,Serbia,Elektromreža Srbije (EMS)
SE,Sweden,Svenska Kraftnät
SI,Slovenia,"ELES, d.o.o."
SK,Slovak Republic,"Slovenská elektrizačná prenosová sústava, a.s. (SEPS)"
UA,Ukraine,National Power Company Ukrenergo
MD,Moldova,Moldelectrica Î.S.
TR,Türkiye,Turkish Electricity Transmission Corporation (TEIAS)
